City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
173,Lakatoro,-16.0999,167.4164,75.69,76,70,11.03,broken clouds
174,Venado Tuerto,-33.7456,-61.9688,42.78,74,0,6.38,clear sky
175,Vao,-22.6667,167.4833,71.42,57,24,18.68,few clouds
176,Lavrentiya,65.5833,-171.0,33.17,88,100,8.99,overcast clouds
177,Sorland,67.667,12.6934,42.26,68,97,13.38,overcast clouds
178,Awjilah,29.1081,21.2869,80.85,19,0,10.94,clear sky
179,Vardo,70.3705,31.1107,37.15,63,22,5.84,few clouds
180,Taunggyi,20.7833,97.0333,88.09,35,61,9.08,broken clouds
181,Kavaratti,10.5669,72.642,83.61,73,88,9.69,overcast clouds
182,Caramay,10.1815,119.236,85.28,68,32,3.38,scattered clouds
183,Tepelene,40.2958,20.0192,80.06,44,92,2.64,overcast clouds
184,Iisalmi,63.5592,27.1907,42.82,98,100,5.77,light rain
185,Puerto Del Rosario,28.5004,-13.8627,65.95,63,20,21.85,few clouds
186,Yerbogachen,61.2767,108.0108,59.85,21,15,8.5,few clouds
187,Mindelo,16.8901,-24.9804,72.95,78,40,15.88,scattered clouds
188,Broken Hill,-31.95,141.4333,74.91,27,32,16.11,scattered clouds
189,Ylojarvi,61.5563,23.5961,47.5,64,75,9.44,broken clouds
190,Mandalgovi,45.7625,106.2708,52.75,21,100,23.76,overcast clouds
191,Toktogul,41.8708,72.9402,74.57,43,100,3.89,overcast clouds
192,Liku,-0.7275,119.8922,84.87,72,56,2.28,broken clouds
193,Hutchinson,38.0608,-97.9298,64.81,92,1,1.99,clear sky
194,Linxia,35.6003,103.2064,68.07,35,6,6.04,clear sky
195,Mbanza-Ngungu,-5.25,14.8667,71.98,86,100,0.69,overcast clouds
196,Puerto Escondido,15.85,-97.0667,82.26,75,2,4.45,clear sky
197,Provideniya,64.3833,-173.3,35.71,87,75,15.66,broken clouds
198,Surt,31.2089,16.5887,78.46,42,61,14.47,broken clouds
199,Jalu,29.0331,21.5482,80.74,19,0,10.76,clear sky
200,Xiaoshi,41.2971,124.1209,68.02,15,95,12.8,overcast clouds
201,Harer,9.3094,42.1258,69.84,57,40,9.22,scattered clouds
202,Wynyard,-41.0,145.7167,56.98,93,100,9.66,overcast clouds
203,Mount Isa,-20.7333,139.5,83.97,26,6,9.22,clear sky
204,Guerrero Negro,27.9769,-114.0611,59.22,86,0,10.16,clear sky
205,Alofi,-19.0595,-169.9187,75.09,100,49,2.3,light rain
206,Winneba,5.3511,-0.6231,81.07,79,64,2.51,broken clouds
207,Matara,5.9485,80.5353,81.77,86,100,15.68,overcast clouds
208,Podor,16.6527,-14.9587,67.95,77,0,2.3,clear sky
209,Vestmannaeyjar,63.4427,-20.2734,43.93,73,51,13.02,broken clouds
210,Canico,32.6333,-16.85,65.03,89,40,3.0,scattered clouds
211,Rio De Janeiro,-22.9028,-43.2075,74.91,74,40,4.43,scattered clouds
212,Solnechnyy,50.7214,136.6319,48.22,90,100,4.97,overcast clouds
213,Avarua,-21.2078,-159.775,80.65,94,75,8.05,light rain
214,Kathmandu,27.7167,85.3167,88.02,40,40,4.61,scattered clouds
215,Canete,-37.8,-73.4,53.08,93,95,1.59,overcast clouds
216,Chuy,-33.6971,-53.4616,53.67,83,100,17.38,overcast clouds
217,Shihezi,44.3,86.0333,83.41,18,0,8.43,clear sky
218,Talas,38.6908,35.5538,52.47,66,75,4.72,broken clouds
219,Ngerengere,-6.75,38.1167,76.26,65,3,8.52,clear sky
220,Hamilton,39.1834,-84.5333,71.42,89,1,2.44,clear sky
221,Trinidad,-14.8333,-64.9,65.43,49,100,6.78,overcast clouds
222,Namibe,-15.1961,12.1522,77.67,64,0,3.6,clear sky
223,Krasnoselkup,65.7,82.4667,54.79,50,45,23.49,scattered clouds
224,Hofn,64.2539,-15.2082,41.81,68,97,9.33,overcast clouds
225,Bethel,41.3712,-73.414,61.92,68,1,4.61,clear sky
226,Nicoya,10.1483,-85.452,77.63,82,100,4.59,overcast clouds
227,Husavik,66.0449,-17.3389,40.91,80,95,6.13,overcast clouds
228,Havelock,34.8791,-76.9013,72.95,91,7,4.99,clear sky
229,Shreveport,32.5251,-93.7502,73.62,78,1,5.75,clear sky
230,Marsh Harbour,26.5412,-77.0636,73.17,63,47,9.37,scattered clouds
231,Buraydah,26.326,43.975,97.25,10,0,12.5,clear sky
232,Pedernales,18.0384,-71.744,78.37,75,22,5.48,few clouds
233,Ust-Ilimsk,58.0006,102.6619,63.16,36,100,9.69,overcast clouds
234,Waw,7.7029,27.9953,83.88,57,100,9.69,overcast clouds
235,Talnakh,69.4865,88.3972,34.57,99,100,2.66,overcast clouds
236,Rocky Mountain House,52.3668,-114.9188,44.71,87,100,2.3,light rain
237,Yayva,59.3303,57.2641,65.37,72,100,11.07,overcast clouds
238,Praia,14.9215,-23.5087,72.14,68,20,11.5,few clouds
239,Adre,13.4667,22.2,88.41,11,21,11.7,few clouds
240,Noumea,-22.2763,166.4572,73.0,99,52,9.01,broken clouds
241,Santa Cruz,-17.8,-63.1667,60.26,32,75,9.13,broken clouds
242,La Rioja,42.25,-2.5,49.48,59,8,4.05,clear sky
243,Vidim,56.4088,103.1106,59.72,37,100,6.04,overcast clouds
244,Hasaki,35.7333,140.8333,79.29,73,72,13.89,broken clouds
245,Okhotsk,59.3833,143.3,36.45,82,95,6.31,overcast clouds
246,Isla Mujeres,21.2311,-86.731,80.65,67,100,13.67,overcast clouds
247,Moron,-34.6534,-58.6198,49.75,97,0,5.97,clear sky
248,Alihe,50.5667,123.7167,48.69,63,100,3.31,overcast clouds
249,Anisoc,1.8658,10.7689,76.64,90,60,0.45,light rain
250,Reyes,-14.3167,-67.3833,63.03,72,100,3.91,overcast clouds
251,Verkhnevilyuysk,63.4453,120.3167,57.07,23,100,7.96,overcast clouds
252,Curvelo,-18.7564,-44.4308,64.83,79,96,1.88,overcast clouds
253,Airai,-8.9266,125.4092,66.2,79,90,1.92,overcast clouds
254,Kamenka,51.3223,42.7678,69.57,60,81,7.7,broken clouds
255,Atambua,-9.1061,124.8925,80.56,61,74,0.45,broken clouds
256,Eydhafushi,5.1033,73.0708,83.28,78,98,20.42,overcast clouds
257,Mar Del Plata,-38.0023,-57.5575,50.13,45,0,5.99,clear sky
258,Petropavlovsk-Kamchatskiy,53.0452,158.6483,46.99,69,96,2.86,overcast clouds
259,Cap Malheureux,-19.9842,57.6142,77.49,74,61,8.99,light rain
260,Bonthe,7.5264,-12.505,82.36,79,17,4.45,few clouds
261,Roald,62.5833,6.1333,55.45,87,75,6.91,broken clouds
262,Umm Lajj,25.0213,37.2685,84.9,50,0,12.01,clear sky
263,Naze,28.3667,129.4833,76.12,93,100,12.93,overcast clouds
264,Saldanha,-33.0117,17.9442,57.25,76,100,13.47,overcast clouds
265,Benguela,-12.5763,13.4055,82.85,44,57,3.62,broken clouds
266,Kutum,14.2,24.6667,86.07,11,5,8.61,clear sky
267,Kayerkan,69.3497,87.7602,34.93,90,100,1.14,overcast clouds
268,Lorengau,-2.0226,147.2712,83.3,77,100,7.96,overcast clouds
269,Luanda,-8.8368,13.2343,80.6,83,40,8.05,scattered clouds
270,Tuatapere,-46.1333,167.6833,39.87,89,4,4.16,clear sky
271,Jalpatagua,14.1417,-90.0086,71.47,89,100,5.3,overcast clouds
272,Cabedelo,-6.9811,-34.8339,75.87,83,48,9.04,scattered clouds
273,Harper,4.375,-7.7169,80.29,83,51,1.48,broken clouds
274,Margate,51.3813,1.3862,54.97,74,53,1.99,broken clouds
275,Mugur-Aksy,50.35,90.5,55.72,46,100,9.82,overcast clouds
276,Kaoma,-14.7833,24.8,69.42,46,0,13.13,clear sky
277,Kruisfontein,-34.0033,24.7314,69.84,26,77,14.18,broken clouds
278,San Jose,37.3394,-121.895,54.82,83,20,3.44,few clouds
279,Ballarat,-37.5662,143.8496,58.98,61,100,11.16,overcast clouds
280,Mahebourg,-20.4081,57.7,77.29,69,75,10.36,light rain
281,Feleacu,46.7167,23.6167,54.66,72,20,5.75,few clouds
